Fund Name,Country,Region,aum $bn,aum_date,type,quintile,inception,latitude,longitude,"Leader, Finalist, Other",Disclosure 1A - Organization,Disclosure 1B - Financials,Intention 2A - RI Statement,Intention 2B - Downloadable Report,Clarity 3A - Objectives for RI,Clarity 3B - Strategies for RI,Integration 4A -Integrating ESG,Integration 4B -Methodology,Implementation 5A - Examples of RI,Implementation 5B - Measuring RI,"Commitment 6A - Staff, Resources",Commitment 6B - Socializing RI,Accountability 7A - Financial Returns,Accountability 7B - ESG Returns,Partnership 8A - RI Partners,Partnership 8B - RI Leadership,Standards 9A -Uniform Standards,Standards 9B - External Managers,Development 10A - Referencing SDGs,Development 10B - Frontier Markets
Commonwealth Superannuation Corp,Australia,Oceania,39,2017,GPF,1,1976,-35.24117,149.070456,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Connecticut Retirement Plans and Trust Funds (CRPTF),USA,North America,32,2017,GPF,2,1972,41.76577,-72.673363,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass
"Economic and Social Stabilization, and Pension Reserve Funds",Chile,Latin America,23,2017,SWF,3,2001,-33.441947,-70.654549,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
"Emergency Service & State Super, Victoria (ESSSuper)",Australia,Oceania,27,2017,GPF,2,1986,-37.81595,144.9586,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail
Emirates Investment Authority,UAE,MENA,45,2018,SWF,4,2007,24.468287,54.339056,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Employees Provident Fund,Malaysia,Asia,201,2017,GPF,2,1991,3.139003,101.686852,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Fail
Employees Provident Fund,Nepal,Asia,2,2016,GPF,5,1962,27.708796,85.320244,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ERAFP (Etablissement de Retraite Additionnelle de la Fonction Publique),France,Europe,26,2017,GPF,1,2003,48.87761,2.319913,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
FAPES - BNDES,Brazil,Latin America,3,2017,GPF,4,1974,-22.908889,-43.181031,Other Rated Fund,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Federal Retirement Thrift,USA,North America,557,2017,GPF,5,1986,38.90204,-77.00637,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
First State Super,Australia,Oceania,46,2017,GPF,2,1992,-31.95429,115.85232,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Florida State Board of Administration,USA,North America,192,2017,GPF,3,1943,30.49136,-84.2461,Other Rated Fund,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Pass
Fondo de Reserva Seguidad Social,Spain,Europe,16,2017,GPF,5,1966,40.442253,-3.692192,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Fonds de compensation (FDC),Luxembourg,Europe,21,2017,GPF,2,2004,49.614371,6.127665,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
